Entry ID,word,definition,plural form,recordings,categories,breakdowns,stress,plural stress,variants,see alsos,public notes,private notes,tags
97,t'ixw,be big (of a person); be stout,dit'ixw; dixwt'ixw,,intransitive verb,,1,2,,,,,
98,ha'widin gya'lasxw,binoculars,,,noun,,"1,4",,,,,,
,ha'widin gya'lasxw,look ahead; look over,,,intransitive verb,,"1,4",,,,,,
99,haawak_,birch tree,,,noun,,2,,,,,,
100,ts'uuts',bird,,,noun,,1,,,,,,
101,hats'(t),bite,hashats'(t),,transitive verb,,1,2,,,,,
102,g_asx_,be bitter,,,intransitive verb,,1,,,,,,
,g_asx_,wild rice,,,noun,,1,,,,,,
103,t'uuts'xw,be black,dist'uuts'xw,,intransitive verb,,1,2,,,,,
,t'uuts'xw,metal; knife,,,noun,,1,,,,,check if plural also works for noun version,
104,t'uuts'xwa,blackcurrant,,,noun,,1,,,,,,
105,ax_g_abitxwt,blackfly; no-see-um,,,noun,,3,,,,,,
106,anda'is,bladder,,,noun,,3,,,,,,
107,gwila,blanket,gwiila,,noun,,2,2,,,,,
108,sins,be blind,,,intransitive verb,,1,,,,,,
109,ihlee'e,blood,,,noun,,2,,,,,check if plural also works for noun version,
,ihlee'e,to bleed,,,intransitive verb,,2,,,,,,
110,g_aw'ihlee'e,blood vessel,,,noun,,3,,,,,,
111,swan,blow,,,intransitive verb,,1,,,,,,
112,bilutxw,be blue,,,intransitive verb,,2,,,,,,
113,gwisgwoosxw,be blue,,,intransitive verb,,2,,,,,,
114,.'miyahl,blueberries,,,noun,,2,,,,,,
115,k_'alidakhl,bluejay,,,noun,,3,,,,,,
116,mak_xw,"get into (a canoe, etc); board (a canoe, etc)",maamax_xw,,intransitive verb,,1,2,,,,,
117,t'aa g_an,board; lumber; plank,,,noun,,2,,,,,,
118,g_as'uu,boil; sore,,,noun,,2,,,,,,
119,hlut'ax_,boil (liquid),,,intransitive verb,,1,,,,,need to check transitivity,
120,sip,bone,sipsip,,noun,,1,2,,,,,
121,laal,bone-game; stick-game,,,noun,,1,,,,,,
122,gyat,be born; hatch,gigyat,,intransitive verb,,1,2,,,,,
123,gwaasxwt,borrow,,,transitive verb,,1,,,,,,
124,s'in,bottom,,,noun,,1,,,,,,
